15.690000000000001;[0, 1];[0, 1];[0, 1, 2];[0, 2, 2]
15.690000000000001;[0, 1];[0, 2];[0, 1, 2];[1, 2]
15.69;[0];[0, 2];[0, 1, 1, 1];[0, 2, 2]
15.69;[0];[0, 2];[0, 1, 2];[0, 1, 1, 2]
15.69;[0, 1];[0, 1, 1];[0, 2];[0, 2, 2]
15.69;[0, 1];[0, 2];[0, 1, 1];[0, 2, 2]
15.69;[0, 1];[0, 2];[0, 2];[0, 1, 1, 2]
15.48;[0];[0, 1, 1];[0, 1, 1, 1];[1, 2]
15.48;[0];[0, 1, 1];[0, 1, 2];[1, 1, 1]
15.48;[0, 1];[0, 1];[0, 1, 1, 1];[1, 2]
15.48;[0, 1];[0, 1];[0, 1, 2];[1, 1, 1]
15.48;[0, 1];[0, 1, 1];[1, 1];[0, 1, 2]
15.48;[0, 1];[0, 1, 1];[0, 1, 2];[1, 1]
15.479999999999999;[0];[0, 2];[0, 1, 1, 1];[1, 1, 1]
15.479999999999999;[0, 1];[0, 1, 1];[2];[0, 1, 1, 1]
15.479999999999999;[0, 1];[0, 1, 1];[0, 1, 1, 1];[2]
15.479999999999999;[0, 1];[0, 2];[1, 1];[0, 1, 1, 1]
15.479999999999999;[0, 1];[0, 2];[0, 1, 1, 1];[1, 1]
15.15;[0, 1];[0, 2];[0, 3];[0, 4]
14.89;[0];[0, 1, 1];[0, 1, 2];[0, 4]
14.89;[0, 1];[0, 1];[0, 1, 2];[0, 4]
14.889999999999999;[0];[0, 2];[0, 1, 1, 1];[0, 4]
14.889999999999999;[0, 1];[0, 1, 1];[0, 2];[0, 4]
14.889999999999999;[0, 1];[0, 2];[0, 1, 1];[0, 4]
14.870000000000001;[0];[0, 1, 1];[0, 3];[0, 1, 3]
14.870000000000001;[0, 1];[0, 1];[0, 3];[0, 1, 3]
14.870000000000001;[0, 1];[0, 1, 1];[0, 3];[3]
14.82;[0];[0, 1, 1];[0, 3];[0, 2, 2]
14.82;[0];[0, 2];[0, 1, 2];[0, 1, 3]
14.82;[0];[0, 2];[0, 3];[0, 1, 1, 2]
14.82;[0, 1];[0, 1];[0, 3];[0, 2, 2]
14.82;[0, 1];[0, 2];[0, 1, 2];[3]
14.82;[0, 1];[0, 2];[0, 2];[0, 1, 3]
14.82;[0, 1];[0, 2];[0, 3];[1, 2]
14.770000000000001;[0];[0, 2];[0, 1, 2];[0, 2, 2]
14.77;[0, 1];[0, 2];[0, 2];[0, 2, 2]
14.61;[0];[0, 1];[0, 1, 1, 1];[0, 1, 3]
14.61;[0];[0, 1];[0, 3];[0, 1, 1, 1, 1]
14.61;[0];[0, 1, 1];[0, 1, 1];[0, 1, 3]
14.61;[0];[0, 1, 1];[0, 1, 1, 1];[3]
14.61;[0];[0, 1, 1];[0, 3];[1, 1, 1]
14.61;[0, 1];[0];[0, 1, 1, 1];[0, 1, 3]
14.61;[0, 1];[0];[0, 3];[0, 1, 1, 1, 1]
14.61;[0, 1];[0, 1];[0, 1, 1];[0, 1, 3]
14.61;[0, 1];[0, 1];[0, 1, 1, 1];[3]
14.61;[0, 1];[0, 1];[0, 3];[1, 1, 1]
14.61;[0, 1];[0, 1, 1];[1, 1];[0, 3]
14.61;[0, 1];[0, 1, 1];[0, 1];[0, 1, 3]
14.61;[0, 1];[0, 1, 1];[0, 3];[1, 1]
14.56;[0];[0, 1, 1];[0, 1, 2];[1, 2]
14.56;[0];[0, 2];[0, 1, 1, 1];[1, 2]
14.56;[0];[0, 2];[0, 1, 2];[1, 1, 1]
14.56;[0, 1];[0, 1];[0, 1, 2];[1, 2]
14.56;[0, 1];[0, 1, 1];[2];[0, 1, 2]
14.56;[0, 1];[0, 1, 1];[0, 1, 2];[2]
14.56;[0, 1];[0, 2];[1, 1];[0, 1, 2]
14.56;[0, 1];[0, 2];[0, 1, 2];[1, 1]
14.559999999999999;[0];[0, 1];[0, 1, 1, 1];[0, 2, 2]
14.559999999999999;[0];[0, 1];[0, 1, 2];[0, 1, 1, 2]
14.559999999999999;[0];[0, 1, 1];[0, 1, 1];[0, 2, 2]
14.559999999999999;[0];[0, 1, 1];[0, 2];[0, 1, 1, 2]
14.559999999999999;[0];[0, 2];[0, 1, 1];[0, 1, 1, 2]
14.559999999999999;[0];[0, 2];[0, 2];[0, 1, 1, 1, 1]
14.559999999999999;[0, 1];[0];[0, 1, 1, 1];[0, 2, 2]
14.559999999999999;[0, 1];[0];[0, 1, 2];[0, 1, 1, 2]
14.559999999999999;[0, 1];[0, 1];[0, 1, 1];[0, 2, 2]
14.559999999999999;[0, 1];[0, 1];[0, 2];[0, 1, 1, 2]
14.559999999999999;[0, 1];[0, 1, 1];[0, 1];[0, 2, 2]
14.559999999999999;[0, 1];[0, 2];[2];[0, 1, 1, 1]
14.559999999999999;[0, 1];[0, 2];[0, 1];[0, 1, 1, 2]
14.559999999999999;[0, 1];[0, 2];[0, 1, 1, 1];[2]
14.349999999999998;[0];[0, 1];[0, 1, 1, 1];[1, 1, 1]
14.349999999999998;[0];[0, 1, 1];[1, 1];[0, 1, 1, 1]
14.349999999999998;[0];[0, 1, 1];[0, 1, 1, 1];[1, 1]
14.349999999999998;[0, 1];[1];[0, 1, 1];[0, 1, 1, 1]
14.349999999999998;[0, 1];[0];[0, 1, 1, 1];[1, 1, 1]
14.349999999999998;[0, 1];[0, 1];[0, 1, 1, 1];[1, 1]
14.349999999999998;[0, 1];[0, 1, 1];[1];[0, 1, 1, 1]
14.349999999999998;[0, 1];[0, 1, 1];[1, 1];[1, 1]
