20.38;[0, 1];[0, 2];[0, 2];[0, 3];[0, 1, 4]
20.38;[0, 1];[0, 2];[0, 2];[0, 4];[1, 3]
20.38;[0, 1];[0, 2];[0, 3];[1, 2];[0, 4]
20.38;[0, 1];[0, 2];[0, 3];[0, 2];[0, 1, 4]
20.38;[0, 1];[0, 2];[0, 3];[0, 4];[1, 2]
20.37;[0];[0, 1];[0, 1, 2];[0, 2, 2];[0, 5]
20.37;[0];[0, 1, 1];[0, 2];[0, 2, 2];[0, 5]
20.37;[0];[0, 2];[0, 1, 1];[0, 2, 2];[0, 5]
20.37;[0];[0, 2];[0, 1, 2];[0, 1, 2];[0, 5]
20.37;[0];[0, 2];[0, 2];[0, 1, 1, 2];[0, 5]
20.37;[0, 1];[0];[0, 1, 2];[0, 2, 2];[0, 5]
20.37;[0, 1];[0, 1];[0, 2];[0, 2, 2];[0, 5]
20.37;[0, 1];[0, 2];[0, 1];[0, 2, 2];[0, 5]
20.37;[0, 1];[0, 2];[0, 1, 2];[0, 2];[0, 5]
20.37;[0, 1];[0, 2];[0, 2];[0, 1, 2];[0, 5]
20.360000000000003;[0];[0, 2];[0, 3];[0, 3];[0, 1, 1, 3]
20.36;[0];[0, 1];[0, 3];[0, 1, 3];[0, 2, 3]
20.36;[0];[0, 1, 1];[0, 3];[0, 3];[0, 2, 3]
20.36;[0];[0, 2];[0, 3];[0, 1, 3];[1, 3]
20.36;[0, 1];[0];[0, 3];[0, 1, 3];[0, 2, 3]
20.36;[0, 1];[0, 1];[0, 3];[0, 3];[0, 2, 3]
20.36;[0, 1];[0, 2];[0, 3];[3];[0, 1, 3]
20.36;[0, 1];[0, 2];[0, 3];[0, 1, 3];[3]
20.330000000000002;[0];[0, 2];[0, 1, 2];[0, 2, 2];[4]
20.330000000000002;[0];[0, 2];[0, 1, 2];[0, 4];[2, 2]
20.33;[0];[0, 2];[0, 2];[0, 2, 2];[0, 1, 4]
20.33;[0];[0, 2];[0, 2];[0, 4];[0, 1, 2, 2]
20.33;[0, 1];[0, 2];[0, 2];[0, 2, 2];[4]
20.33;[0, 1];[0, 2];[0, 2];[0, 4];[2, 2]
20.310000000000002;[0];[0, 1];[0, 3];[0, 2, 2];[0, 2, 3]
20.310000000000002;[0];[0, 2];[0, 1, 2];[0, 3];[0, 2, 3]
20.310000000000002;[0];[0, 2];[0, 2];[0, 1, 3];[0, 2, 3]
20.310000000000002;[0];[0, 2];[0, 3];[0, 1, 2];[0, 2, 3]
20.310000000000002;[0];[0, 2];[0, 3];[0, 1, 3];[2, 2]
20.310000000000002;[0];[0, 2];[0, 3];[0, 2, 2];[1, 3]
20.310000000000002;[0];[0, 2];[0, 3];[0, 3];[0, 1, 2, 2]
20.310000000000002;[0, 1];[0];[0, 3];[0, 2, 2];[0, 2, 3]
20.310000000000002;[0, 1];[0, 2];[0, 2];[0, 3];[0, 2, 3]
20.310000000000002;[0, 1];[0, 2];[0, 3];[3];[0, 2, 2]
20.310000000000002;[0, 1];[0, 2];[0, 3];[0, 2];[0, 2, 3]
20.310000000000002;[0, 1];[0, 2];[0, 3];[0, 2, 2];[3]
20.26;[0];[0, 2];[0, 2];[0, 2, 2];[0, 2, 3]
20.26;[0];[0, 2];[0, 3];[0, 2, 2];[2, 2]
20.169999999999998;[0];[0, 1];[0, 1, 1, 1];[0, 1, 3];[4]
20.169999999999998;[0];[0, 1];[0, 1, 1, 1];[0, 4];[1, 3]
20.169999999999998;[0];[0, 1];[0, 3];[0, 1, 1, 1, 1];[4]
20.169999999999998;[0];[0, 1];[0, 3];[0, 4];[1, 1, 1, 1]
20.169999999999998;[0];[0, 1, 1];[0, 1, 1];[0, 1, 3];[4]
20.169999999999998;[0];[0, 1, 1];[0, 1, 1];[0, 4];[1, 3]
20.169999999999998;[0];[0, 1, 1];[0, 1, 1, 1];[3];[0, 4]
20.169999999999998;[0];[0, 1, 1];[0, 1, 1, 1];[0, 4];[3]
